reading time,reader id,poster id
2012-11-23 11:03:00,332,132
2012-11-23 11:04:00,331,277
2012-11-23 11:04:00,192,277
2012-11-23 11:04:00,65,277
2012-11-23 11:04:00,277,267
2012-11-23 11:04:00,331,152
2012-11-23 11:04:00,135,152
2012-11-23 11:04:00,85,152
2012-11-23 11:04:00,332,126
2012-11-23 11:04:00,277,85
2012-11-23 11:05:00,272,280
2012-11-23 11:05:00,132,277
2012-11-23 11:05:00,208,267
2012-11-23 11:05:00,277,152
2012-11-23 11:05:00,192,152
2012-11-23 11:05:00,143,152
2012-11-23 11:05:00,132,152
2012-11-23 11:05:00,42,152
2012-11-23 11:05:00,332,143
2012-11-23 11:05:00,280,143
2012-11-23 11:05:00,272,143
2012-11-23 11:05:00,272,143
2012-11-23 11:05:00,332,78
2012-11-23 11:05:00,192,65
2012-11-23 11:06:00,272,277
2012-11-23 11:06:00,216,277
2012-11-23 11:06:00,143,277
2012-11-23 11:06:00,192,267
2012-11-23 11:06:00,330,152
2012-11-23 11:06:00,330,152
2012-11-23 11:06:00,272,152
2012-11-23 11:06:00,272,152
2012-11-23 11:06:00,143,152
2012-11-23 11:06:00,18,152
2012-11-23 11:06:00,330,143
2012-11-23 11:06:00,152,143
2012-11-23 11:06:00,152,143
2012-11-23 11:06:00,65,143
2012-11-23 11:06:00,208,132
2012-11-23 11:06:00,208,132
2012-11-23 11:06:00,13,35
2012-11-23 11:06:00,235,14
2012-11-23 11:07:00,39,280
2012-11-23 11:07:00,280,277
2012-11-23 11:07:00,330,267
2012-11-23 11:07:00,42,196
2012-11-23 11:07:00,330,152
2012-11-23 11:07:00,277,152
2012-11-23 11:07:00,272,152
2012-11-23 11:07:00,235,152
2012-11-23 11:07:00,208,152
2012-11-23 11:07:00,39,152
2012-11-23 11:07:00,39,152
2012-11-23 11:07:00,13,152
2012-11-23 11:07:00,235,146
2012-11-23 11:07:00,143,146
2012-11-23 11:07:00,330,143
2012-11-23 11:07:00,208,143
2012-11-23 11:07:00,192,143
2012-11-23 11:07:00,60,143
2012-11-23 11:07:00,272,126
2012-11-23 11:07:00,272,85
2012-11-23 11:07:00,272,42
2012-11-23 11:07:00,152,42
2012-11-23 11:07:00,152,42
2012-11-23 11:08:00,235,313
2012-11-23 11:08:00,143,267
2012-11-23 11:08:00,42,267
2012-11-23 11:08:00,65,152
2012-11-23 11:08:00,18,152
2012-11-23 11:08:00,18,152
2012-11-23 11:08:00,13,42
2012-11-23 11:08:00,65,18
2012-11-23 11:08:00,13,18
2012-11-23 11:09:00,60,280
2012-11-23 11:09:00,224,277
2012-11-23 11:09:00,235,194
2012-11-23 11:09:00,235,152
2012-11-23 11:09:00,65,152
2012-11-23 11:09:00,18,152
2012-11-23 11:09:00,13,152
2012-11-23 11:09:00,152,78
2012-11-23 11:09:00,152,78
2012-11-23 11:09:00,307,42
2012-11-23 11:09:00,18,42
2012-11-23 11:09:00,280,18
2012-11-23 11:09:00,135,18
2012-11-23 11:09:00,42,18
2012-11-23 11:10:00,42,267
2012-11-23 11:10:00,18,267
2012-11-23 11:10:00,42,196
2012-11-23 11:10:00,280,152
2012-11-23 11:10:00,224,152
2012-11-23 11:10:00,60,152
2012-11-23 11:10:00,13,152
2012-11-23 11:10:00,236,143
2012-11-23 11:10:00,18,85
2012-11-23 11:10:00,224,42
2012-11-23 11:10:00,152,42
2012-11-23 11:10:00,307,18
2012-11-23 11:10:00,152,18
2012-11-23 11:11:00,152,277
2012-11-23 11:11:00,224,208
2012-11-23 11:11:00,192,208
2012-11-23 11:11:00,21,208
2012-11-23 11:11:00,208,152
2012-11-23 11:11:00,235,143
2012-11-23 11:11:00,280,85
2012-11-23 11:11:00,152,42
2012-11-23 11:11:00,60,42
2012-11-23 11:11:00,152,18
2012-11-23 11:12:00,152,192
2012-11-23 11:12:00,280,152
2012-11-23 11:12:00,208,152
2012-11-23 11:12:00,177,143
2012-11-23 11:12:00,177,42
2012-11-23 11:12:00,143,42
2012-11-23 11:12:00,235,18
2012-11-23 11:12:00,235,18
2012-11-23 11:12:00,224,18
2012-11-23 11:12:00,192,18
2012-11-23 11:12:00,177,18
2012-11-23 11:12:00,177,18
2012-11-23 11:12:00,152,18
2012-11-23 11:13:00,177,277
2012-11-23 11:13:00,143,267
2012-11-23 11:13:00,272,208
2012-11-23 11:13:00,272,192
2012-11-23 11:13:00,208,192
2012-11-23 11:13:00,192,152
2012-11-23 11:13:00,143,146
2012-11-23 11:13:00,192,143
2012-11-23 11:13:00,8,143
2012-11-23 11:13:00,272,42
2012-11-23 11:13:00,280,18
2012-11-23 11:13:00,272,18
2012-11-23 11:13:00,272,18
2012-11-23 11:13:00,216,18
2012-11-23 11:13:00,13,18
2012-11-23 11:14:00,272,280
2012-11-23 11:14:00,283,208
2012-11-23 11:14:00,192,152
2012-11-23 11:14:00,135,152
2012-11-23 11:14:00,186,132
2012-11-23 11:14:00,283,42
2012-11-23 11:14:00,186,42
2012-11-23 11:14:00,224,18
2012-11-23 11:14:00,208,18
2012-11-23 11:14:00,85,18
2012-11-23 11:15:00,277,301
2012-11-23 11:15:00,235,301
2012-11-23 11:15:00,192,301
2012-11-23 11:15:00,186,301
2012-11-23 11:15:00,143,208
2012-11-23 11:15:00,143,208
2012-11-23 11:15:00,224,85
2012-11-23 11:15:00,172,39
2012-11-23 11:15:00,60,18
2012-11-23 11:16:00,224,301
2012-11-23 11:16:00,116,301
2012-11-23 11:16:00,60,301
2012-11-23 11:16:00,272,224
2012-11-23 11:16:00,186,208
2012-11-23 11:16:00,277,60
2012-11-23 11:16:00,192,60
2012-11-23 11:17:00,333,301
2012-11-23 11:17:00,143,301
2012-11-23 11:17:00,333,235
2012-11-23 11:17:00,152,235
2012-11-23 11:17:00,272,224
2012-11-23 11:17:00,235,208
2012-11-23 11:17:00,297,192
2012-11-23 11:17:00,76,192
2012-11-23 11:17:00,8,152
2012-11-23 11:17:00,152,60
2012-11-23 11:17:00,76,42
2012-11-23 11:17:00,60,18
2012-11-23 11:17:00,152,13
2012-11-23 11:17:00,152,13
2012-11-23 11:18:00,272,301
2012-11-23 11:18:00,76,301
2012-11-23 11:18:00,272,297
